tweet_id,source,Tweet_text,Rating_recieved,Total_Rating,text_dog_name,stage,dog_stage,Date,Time,img_num,dog_breed_prediction,prediction_confidence,favorite_count,retweet_count
-648585215,iPhone,This is Phineas. He's a mystical boy. Only ever appears in the hole of a donut. 13/10 ,13.0,10,Phineas,,,2017-08-01, 16:23:56,,,,34975.0,7340.0
1100394498,iPhone,"This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit. 13/10 ",13.0,10,Tilly,,,2017-08-01, 00:17:27,1.0,chihuahua,0.323581,30277.0,5475.0
-1286119424,iPhone,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. 12/10 ,12.0,10,Archie,,,2017-07-31, 00:18:03,1.0,chihuahua,0.716012,22781.0,3621.0
-1885904896,iPhone,This is Darla. She commenced a snooze mid meal. 13/10 happens to the best of us ,13.0,10,Darla,,,2017-07-30, 15:58:51,,,,38240.0,7529.0
1079468032,iPhone,"This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such. 12/10 #BarkWeek ",12.0,10,Franklin,,,2017-07-29, 16:00:24,2.0,basset,0.555712,36523.0,8107.0
664186880,iPhone,Here we have a majestic great white breaching off South Africa's coast. Absolutely h*ckin breathtaking. 13/10 (IG: tucker_marlo) #BarkWeek ,13.0,10,Jax,,,2017-07-29, 00:08:17,1.0,chesapeake bay retriever,0.425595,18420.0,2715.0
664186880,iPhone,Here we have a majestic great white breaching off South Africa's coast. Absolutely h*ckin breathtaking. 13/10 (IG: tucker_marlo) #BarkWeek ,13.0,10,Jax,,,2017-07-29, 00:08:17,1.0,chesapeake bay retriever,0.425595,3362.0,1387.0
93716482,iPhone,"Meet Jax. He enjoys ice cream so much he gets nervous around it. 13/10 help Jax enjoy more things by clicking below

https://t.co/Zr4hWfAs1H ",13.0,10,Zoey,,,2017-07-28, 16:27:12,1.0,appenzeller,0.34170300000000003,10713.0,1757.0
-1592303616,iPhone,When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy. 13/10 ,13.0,10,Cassie,,,2017-07-28, 00:22:40,2.0,pomeranian,0.566142,58911.0,16461.0
-761946112,iPhone,This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. 13/10 #BarkWeek ,13.0,10,Koda,,,2017-07-27, 16:25:51,1.0,irish terrier,0.48757399999999995,25347.0,3767.0
-1462267903,iPhone,This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate ,14.0,10,Bruno,doggo,,2017-07-26, 15:59:51,1.0,pembroke,0.511319,28923.0,6374.0
1817575424,iPhone,This is Koda. He is a South Australian deckshark. Deceptively deadly. Frighteningly majestic. 13/10 would risk a petting #BarkWeek ,13.0,10,Ted,,,2017-07-26, 00:31:25,1.0,samoyed,0.9579790000000001,27898.0,6401.0
-417943551,iPhone,This is Bruno. He is a service shark. Only gets out of the water to assist you. 13/10 terrifyingly good boy ,13.0,10,Stuart,,,2017-07-25, 16:11:53,1.0,french bulldog,0.377417,25366.0,4340.0
9883649,iPhone,Here's a puppo that seems to be on the fence about something haha no but seriously someone help her. 13/10 ,13.0,10,Oliver,puppo,,2017-07-25, 01:55:32,1.0,pembroke,0.966327,43547.0,8721.0
743931904,iPhone,This is Ted. He does his best. Sometimes that's not enough. But it's ok. 12/10 would assist ,12.0,10,Jim,,,2017-07-25, 00:10:02,1.0,french bulldog,0.99165,24482.0,3896.0
-891850751,iPhone,This is Stuart. He's sporting his favorite fanny pack. Secretly filled with bones only. 13/10 puppared puppo #BarkWeek ,13.0,10,Zeke,puppo,,2017-07-24, 17:02:04,1.0,golden retriever,0.953442,13792.0,1965.0
714526720,iPhone,This is Oliver. You're witnessing one of his many brutal attacks. Seems to be playing with his victim. 13/10 fr*ckin frightening #BarkWeek ,13.0,10,Ralphus,,,2017-07-24, 00:19:32,1.0,whippet,0.626152,22854.0,4634.0
-1256742912,iPhone,This is Jim. He found a fren. Taught him how to sit like the good boys. 12/10 for both ,12.0,10,Gerald,,,2017-07-23, 00:22:39,1.0,golden retriever,0.714719,26459.0,3904.0
-1210621951,iPhone,This is Zeke. He has a new stick. Very proud of it. Would like you to throw it for him without taking it. 13/10 would do my best ,13.0,10,Jeffrey,,,2017-07-22, 16:56:37,1.0,golden retriever,0.46976,23230.0,3695.0
-459845632,iPhone,This is Ralphus. He's powering up. Attempting maximum borkdrive. 13/10 inspirational af ,13.0,10,such,,,2017-07-22, 00:23:06,3.0,siberian husky,0.700377,17897.0,3005.0
-2104045568,iPhone,This is Gerald. He was just told he didn't get the job he interviewed for. A h*ckin injustice. 12/10 didn't want the job anyway ,12.0,10,Maya,,,2017-07-20, 16:49:33,1.0,french bulldog,0.9950260000000001,19797.0,3032.0
-422129664,iPhone,This is Jeffrey. He has a monopoly on the pool noodles. Currently running a 'boop for two' midweek sale. 13/10 h*ckin strategic ,13.0,10,Mingus,,,2017-07-19, 16:06:48,1.0,basset,0.821664,27531.0,4711.0
-1013526528,iPhone,I've yet to rate a Venezuelan Hover Wiener. This is such an honor. 14/10 paw-inspiring af (IG: roxy.thedoxy) ,14.0,10,Derek,,,2017-07-19, 03:39:09,,,,42112.0,10258.0
-1466474485,iPhone,This is Canela. She attempted some fancy porch pics. They were unsuccessful. 13/10 someone help her ,13.0,10,Roscoe,,,2017-07-19, 00:47:34,2.0,pembroke,0.809197,62294.0,15671.0
1574400000,iPhone,You may not have known you needed to see this today. 13/10 please enjoy (IG: emmylouroo) ,13.0,10,Waffles,,,2017-07-18, 16:08:03,1.0,mexican hairless,0.330741,30552.0,9190.0
1171750912,iPhone,This... is a Jubilant Antarctic House Bear. We only rate dogs. Please only send dogs. Thank you... 12/10 would suffocate in floof ,12.0,10,Jimbo,,,2017-07-18, 00:07:08,1.0,samoyed,0.733942,27860.0,5201.0
735490048,iPhone,This is Maya. She's very shy. Rarely leaves her cup. 13/10 would find her an environment to thrive in ,13.0,10,Maisey,,,2017-07-17, 16:17:36,2.0,chihuahua,0.793469,31543.0,6657.0
-1533571072,iPhone,"This is Mingus. He's a wonderful father to his smol pup. Confirmed 13/10, but he needs your help

https://t.co/bVi0Yr4Cff ",13.0,10,Earl,,,2017-07-16, 23:58:41,1.0,kuvasz,0.309706,10843.0,2764.0
1964462080,iPhone,This is Derek. He's late for a dog meeting. 13/10 pet...al to the metal ,13.0,10,Lola,,,2017-07-16, 20:14:00,,,,20434.0,3904.0
-36421632,iPhone,This is Roscoe. Another pupper fallen victim to spontaneous tongue ejections. Get the BlepiPen immediate. 12/10 deep breaths Roscoe ,12.0,10,Kevin,pupper,,2017-07-15, 23:25:31,1.0,french bulldog,0.999201,19181.0,2760.0
949276672,iPhone,@NonWhiteHat @MayhewMayhem omg hello tanner you are a scary good boy 12/10 would p,12.0,10,Yogi,,,2017-07-15, 16:51:35,,,,107.0,3.0
110477313,iPhone,This is Waffles. His doggles are pupside down. Unsure how to fix. 13/10 someone assist Waffles ,13.0,10,Noah,,,2017-07-15, 16:17:19,1.0,pug,0.943575,25408.0,5513.0
1100324864,iPhone,Viewer discretion advised. This is Jimbo. He will rip ur finger right h*ckin off. Other dog clearly an accessory. 12/10 pls pet with caution ,12.0,10,Grizzwald,,,2017-07-14, 22:10:11,1.0,blenheim spaniel,0.9724940000000001,29580.0,5853.0
-770256896,iPhone,This is Maisey. She fell asleep mid-excavation. Happens to the best of us. 13/10 would pat noggin approvingly ,13.0,10,Rusty,,,2017-07-13, 15:58:47,1.0,pug,0.369275,32658.0,5574.0
467054593,iPhone,I have a new hero and his name is Howard. 14/10 ,14.0,10,Gus,,,2017-07-13, 15:19:09,,,,18604.0,3261.0
-1378377728,iPhone,Here we have a corgi undercover as a malamute. Pawbably doing important investigative work. Zero control over tongue happenings. 13/10 ,13.0,10,Alfy,,,2017-07-12, 16:03:00,4.0,malamute,0.8124819999999999,19874.0,3816.0
-803766271,iPhone,"This is Earl. He found a hat. Nervous about what you think of it. 12/10 it's delightful, Earl ",12.0,10,Koko,,,2017-07-12, 00:01:00,1.0,italian greyhound,0.259916,69698.0,15748.0
198660097,iPhone,This is Lola. It's her first time outside. Must test the earth and taste the atmosphere. 13/10 you're doing great Lola ,13.0,10,Rey,,,2017-07-11, 20:47:12,1.0,chow,0.822103,25256.0,4876.0
-2016018432,iPhone,This is Kevin. He's just so happy. 13/10 what is your secret Kevin ,13.0,10,Gary,,,2017-07-11, 00:00:02,1.0,pug,0.5464060000000001,22077.0,4097.0
